content_id,title,중분류,소분류
yongsan_221,란스미어 한남점,면세점,사후면세점
yongsan_222,중소기업명품마루 서울역점,면세점,사후면세점
yongsan_223,미샤 롯데마트 서울역점,면세점,사후면세점
yongsan_224,오디오파크,면세점,사후면세점
yongsan_225,핑 팬텀 롯데아울렛 서울역점,면세점,사후면세점
yongsan_226,탠디 롯데아울렛 서울역점,면세점,사후면세점
yongsan_227,컬럼비아 롯데아울렛 서울역점,면세점,사후면세점
yongsan_228,아이더 롯데아울렛 서울역점,면세점,사후면세점
yongsan_229,올리브영 이태원입구점,면세점,사후면세점
yongsan_230,르 라보 이태원점,면세점,사후면세점
yongsan_231,이니스프리 이태원점,면세점,사후면세점
yongsan_232,초이컴,면세점,사후면세점
yongsan_233,이태원맨인블랙안경원,면세점,사후면세점
yongsan_234,기념품더방,면세점,사후면세점
yongsan_235,레노마정장 롯데아울렛 서울역점,면세점,사후면세점
yongsan_236,듀엘 롯데아울렛 서울역점,면세점,사후면세점
yongsan_237,헬리녹스 크리에이티브 센터 서울,면세점,사후면세점
yongsan_238,LAP 아이파크몰 용산점,면세점,사후면세점
yongsan_239,카시나 한남점,면세점,사후면세점
yongsan_240,온더스팟 한남점,면세점,사후면세점
yongsan_241,컨버스 이태원점,면세점,사후면세점
yongsan_242,올리브영 순천향입구점,면세점,사후면세점
yongsan_243,꼼데가르송 한남점,면세점,사후면세점
yongsan_244,협진컴퓨터,면세점,사후면세점
yongsan_245,반월음향,면세점,사후면세점
yongsan_247,커버낫 롯데아울렛 서울역점,면세점,사후면세점
yongsan_248,올리브영 트윈시티점,면세점,사후면세점
yongsan_249,MUJI 아이파크몰 용산점,면세점,사후면세점
yongsan_250,경리단길,기타체험,기타체험관광
yongsan_251,로이드 롯데아울렛 서울역점,면세점,사후면세점
yongsan_252,유니클로 용산 아이파크몰 용산점,면세점,사후면세점
yongsan_253,지고트 롯데아울렛 서울역점,면세점,사후면세점
yongsan_254,올리브영 이태원중앙점,면세점,사후면세점
yongsan_255,올리브영 한남오거리점,면세점,사후면세점
yongsan_256,오브제 롯데아울렛 서울역점,면세점,사후면세점
yongsan_257,올리브영 용산리첸시아점,면세점,사후면세점
yongsan_258,잇미샤 롯데아울렛 서울역점,면세점,사후면세점
yongsan_259,후암별채,웰니스관광,힐링명상
yongsan_260,여인숙,주점,바/펍
yongsan_261,힐즈앤유로파,카페/ 찻집,카페
yongsan_262,레인리포트 경리단,카페/ 찻집,카페
yongsan_263,대원뮤지엄,전시시설,전시관
yongsan_264,노들섬 라이브하우스,공연시설,공연장
yongsan_265,일신홀,공연시설,공연장
yongsan_266,용산아트홀,공연시설,공연장
yongsan_267,파운드리 서울,전시시설,미술관/화랑
yongsan_268,데이블러,카페/ 찻집,카페
yongsan_269,사운즈한남,기타쇼핑시설,기타쇼핑시설
yongsan_270,후암동108계단,도시.지역문화관광,마을관광지
yongsan_271,용산역사박물관,전시시설,박물관
yongsan_272,나인트리 프리미어 로카우스 호텔 서울 용산,호텔,호텔
yongsan_273,호텔더디자이너스 서울역점,호텔,호텔
yongsan_274,김세중미술관,전시시설,미술관/화랑
yongsan_275,팝콘D스퀘어,전시시설,전시관
yongsan_276,그래픽,기타쇼핑시설,기타쇼핑시설
yongsan_277,보라보라,호스텔,게스트하우스
yongsan_278,파리게이츠 롯데아울렛 서울역점,면세점,사후면세점
yongsan_279,골프존마켓 롯데아울렛 서울역점,면세점,사후면세점
yongsan_280,라이프워크 롯데아울렛 서울역점,면세점,사후면세점
yongsan_281,CU 중앙박물관점,면세점,사후면세점
yongsan_282,럭셔리에비뉴 롯데아울렛 서울역점,면세점,사후면세점
yongsan_283,게스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_284,젝시믹스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_285,테일러메이드 롯데아울렛 서울역점,면세점,사후면세점
yongsan_286,광주요 한남점,면세점,사후면세점
yongsan_287,스케쳐스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_288,시코르 아이파크몰 용산점,면세점,사후면세점
yongsan_289,보나파이드 주얼리,면세점,사후면세점
yongsan_290,휠라 롯데아울렛 서울역점,면세점,사후면세점
yongsan_291,올리브영 플러스점,면세점,사후면세점
yongsan_292,볼빅 롯데아울렛 서울역점,면세점,사후면세점
yongsan_293,올리브영 아이파크몰 용산점,면세점,사후면세점
yongsan_294,페라라코리아,면세점,사후면세점
yongsan_295,올리브영 서울역점,면세점,사후면세점
yongsan_296,컨버스 롯데아울렛 서울역점,면세점,사후면세점
yongsan_297,캉골 롯데아울렛 서울역점,면세점,사후면세점
yongsan_298,ABC마트 ST 롯데아울렛 서울역점,면세점,사후면세점
yongsan_299,시스템 롯데아울렛 서울역점,면세점,사후면세점
